epoch,split,total,recon_total,gan_total,final_l1,grad,shadow_removal,shadow_mask,shadow_penumbra,shadow_valid_frac,shadow_no_shadow_frac,shadow_ambiguous_frac,cloud_l1,cloud_kl,cloud_adv,feature_matching,perceptual,disc_total,disc_real_loss,disc_fake_loss,disc_real_gp,disc_real_logit,disc_fake_logit,w_final_l1,w_grad,w_shadow_removal,w_shadow_mask,w_shadow_penumbra,w_cloud_l1,w_cloud_kl,w_cloud_adv,w_feature_matching,w_perceptual
1,train,6.737669693949755,6.737669693949755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0673766967239547,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
1,val,5.557401275092905,5.557401275092905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555740126662633,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2,train,5.649891393264864,5.649891393264864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0564989138861679,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2,val,5.282557406208732,5.282557406208732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0528255737047981,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
3,train,5.334845441561591,5.334845441561591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0533484544730332,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
3,val,5.005910721692172,5.005910721692172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0500591066665947,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
4,train,5.232428035969399,5.232428035969399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0523242803421498,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
4,val,4.687610832127658,4.687610832127658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0468761082738637,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
5,train,5.242949138723017,5.134929742288152,0.1080194046487319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0507354067029027,0.3836818047619741,0.0,0.0,0.1800323336268419,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.16,0.0,0.0,0.6
5,val,4.595728860660032,4.488460687073794,0.1072681939060037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0443033863874998,0.3632630651647394,0.0,0.0,0.1787803168831901,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.16,0.0,0.0,0.6
6,train,5.257849489876984,5.0583510748836975,0.1994984075882748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04935496163751,0.3839216306577764,0.0,0.0,0.1662486656953435,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.32,0.0,0.0,1.2
6,val,4.773198054595427,4.565311556512659,0.2078865294514054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0445074678017673,0.3580149639059197,0.0,0.0,0.1732387678613039,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.32,0.0,0.0,1.2
7,train,5.298561821654666,5.013973752293018,0.2845880616376524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483001383072739,0.3832498360482195,0.0,0.0,0.1581044828331251,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.48,0.0,0.0,1.7999999999999998
7,val,5.404467674818906,5.103634151545438,0.3008335253054445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0492735272273421,0.3672529391267083,0.0,0.0,0.1671297404576431,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.48,0.0,0.0,1.7999999999999998
8,train,5.376353711527787,5.005981732581369,0.3703719683743398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476028562184503,0.3839001741704591,0.0,0.0,0.1543216474855529,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.64,0.0,0.0,2.4
8,val,4.972587412053889,4.578864295374263,0.3937230945818804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434986374298618,0.3578134301033887,0.0,0.0,0.1640512823465872,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.64,0.0,0.0,2.4
9,train,5.428508721360373,4.980935747105776,0.447572985874768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467372391521019,0.3840147834669924,0.0,0.0,0.1491909952839944,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.8,0.0,0.0,3.0
9,val,5.166788640347394,4.70541865717281,0.4613699919798157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441630311648954,0.3613944693722508,0.0,0.0,0.1537899983284825,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.8,0.0,0.0,3.0
10,train,5.69920240410971,5.047128891726152,0.6520735125202651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0467891920278196,0.3835517574523202,0.4866754809103975,0.1504327428131293,0.1482553577181578,1.3263762334435725,0.4847382470190707,0.7861584805931885,0.0554795036913359,0.5569098559905994,0.5517228455809643,0.0,0.0,0.0,0.0,0.0,100.0,0.96,0.05,0.625,3.6
10,val,5.285841356624257,4.721075345169414,0.5647660123014991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0437710419805212,0.3583033396439118,0.0,0.0,0.1568794525651769,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,0.96,0.05,0.625,3.6
11,train,6.013030319038881,5.151787538411785,0.8612428022269444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472195209359995,0.3837816315142022,0.4892205631514208,0.1587368280737908,0.1461666054476838,1.2420747167108983,0.4663463720670169,0.7632514087978853,0.0124769341741725,0.6447072440148858,0.6202487551837886,0.0,0.0,0.0,0.0,0.0,100.0,1.12,0.1,1.25,4.2
11,val,5.281916916370392,4.640193091197447,0.6417238370261409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042392855933444,0.3579531247642907,0.0,0.0,0.1527913975614038,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,1.12,0.1,1.25,4.2
12,train,6.1183707998433245,5.052884109887873,1.065486696973124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045631114268157,0.3826349065026741,0.5054204860411653,0.160187011146035,0.1436089476747068,1.2112625394392451,0.4563530513088273,0.737392872845361,0.0175166180031943,0.6747992566419304,0.6240880600538458,0.0,0.0,0.0,0.0,0.0,100.0,1.28,0.15,1.875,4.8
12,val,5.7510025609623305,4.985739157958464,0.7652634251862764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0453436241315847,0.3526380742815407,0.0,0.0,0.1594298738054931,,,,,,,0.0,0.0,0.0,0.0,0.0,100.0,1.28,0.15,1.875,4.8
13,train,6.38925399328226,5.10013733799669,1.2891166510020555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454917652219169,0.3826116623317065,0.5133412428405306,0.1698910993743198,0.1410593779512683,1.1981103660863477,0.4474961261865925,0.7287612064351364,0.0218530347006856,0.7031827424097499,0.6309853415788131,0.0,0.0,0.0,0.0,0.0,100.0,1.44,0.2,2.5,5.4
